Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
19-DEC-2016,8346.6,8349.05,8307.4,8316.55,174184782.0,7207.62
20-DEC-2016,8322.05,8335.45,8266.3,8286.4,194617175.0,8158.12
21-DEC-2016,8311.4,8316.85,8259.05,8267.55,196345237.0,8381.31
22-DEC-2016,8251.0,8251.6,8162.0,8173.55,200617132.0,8293.77
23-DEC-2016,8169.05,8217.45,8131.2,8173.25,212717351.0,9367.92
26-DEC-2016,8152.7,8157.15,8069.85,8083.05,195614772.0,7986.55
27-DEC-2016,8090.35,8226.05,8072.6,8214.45,214088445.0,7863.02
28-DEC-2016,8232.55,8290.15,8215.55,8222.0,211588067.0,8490.99
29-DEC-2016,8218.55,8304.75,8209.65,8296.8,314316229.0,11353.28
30-DEC-2016,8315.55,8394.4,8311.2,8382.5,205477330.0,7968.23
02-JAN-2017,8409.6,8411.05,8337.2,8389.25,208398549.0,7677.37
03-JAN-2017,8407.3,8437.4,8365.3,8411.2,215814370.0,8616.75
04-JAN-2017,8424.45,8440.5,8397.95,8407.9,243249400.0,9642.15
05-JAN-2017,8445.55,8509.45,8443.6,8501.65,260376889.0,10957.16
06-JAN-2017,8512.8,8538.85,8460.8,8472.7,248977741.0,10501.82
09-JAN-2017,8490.8,8494.0,8460.8,8466.8,170197756.0,7491.22
10-JAN-2017,8494.3,8531.45,8493.75,8526.2,229813230.0,9721.49
11-JAN-2017,8565.25,8631.25,8558.95,8623.15,328048284.0,12773.08
12-JAN-2017,8634.65,8658.9,8622.0,8651.0,361979696.0,10456.84
13-JAN-2017,8698.9,8701.9,8616.75,8646.7,294726096.0,11585.05
16-JAN-2017,8640.65,8677.35,8623.05,8666.45,233019011.0,8549.44
17-JAN-2017,8672.6,8696.1,8633.1,8653.1,244556382.0,9849.32
18-JAN-2017,8661.2,8718.75,8656.4,8678.3,269333472.0,10667.37
19-JAN-2017,8680.0,8707.75,8665.85,8697.95,261492545.0,10283.15
20-JAN-2017,8668.85,8689.05,8595.45,8602.9,298725553.0,11837.89
23-JAN-2017,8585.55,8660.5,8583.15,8651.6,281931388.0,11412.77
24-JAN-2017,8670.3,8745.0,8661.95,8739.45,267493315.0,11105.48
25-JAN-2017,8764.05,8878.4,8758.15,8867.95,492960503.0,19254.33
27-JAN-2017,8876.75,8943.45,8872.95,8908.9,428070715.0,15405.64
30-JAN-2017,8903.05,8935.1,8883.65,8910.0,406626241.0,12579.56
31-JAN-2017,8910.5,8912.7,8816.4,8825.0,666893953.0,19005.14
01-FEB-2017,8837.3,8995.0,8803.75,8988.45,481080241.0,17619.52
02-FEB-2017,8998.0,9037.7,8962.1,9013.9,429021287.0,15496.49
03-FEB-2017,9019.05,9034.7,8990.9,9021.35,311910874.0,11883.82
